id,name,title,gender,birth_date,death_date,min_offset_to_royal,min_dist_to_royal,x,y
I1,¼ÖÄ¸,Jia Mu,F,1800,1900,5.5,1,0,750
I2,¼ÖÉâ,Jia He,M,1900,2000,5.5,2,-150,850
I3,ĞÏ·òÈË,Xing Furen,F,1900,2000,8,2,-120,850
I4,¼ÖÕş,Jia Zheng,M,1900,2000,5.5,2,-60,850
I5,Íõ·òÈË,Wang Furen,F,1900,2000,5.5,2,-30,850
I6,ÕÔÒÌÄï,Zhao yiniang,F,2000,2100,8,2,0,850
I7,¼ÖÃô,Jia Min,F,1900,2000,5.5,2,60,850
I8,ÁÖÈçº£,Lin Ruhai,M,1900,2000,5.5,2,90,850
I9,¼Öçö,Jia Lian,M,2000,2100,5.5,3,-210,950
I10,ÍõÎõ·ï,Wang Xifeng,F,2000,2100,6,3,-180,950
I11,¼ÖÓ­´º,Jia Yingchun,F,2000,2100,5.5,3,-230,950
I12,¼ÖÖé,Jia Zhu,M,2100,2200,5.5,3,-150,950
I13,¼ÖÔª´º,Jia Yuanchun,F,2100,2200,5.5,3,-120,950
I14,¼Ö±¦Óñ,Jia Baoyu,M,2100,2200,6,3,-90,950
I15,¼ÖÌ½´º,Jia Tanchun,F,2100,2200,8,3,-30,950
I16,¼Ö»·,Jia Huan,F,2100,2200,5.5,3,0,950
I17,ÁÖ÷ìÓñ,Lin Daiyu,F,2100,2200,5.5,3,60,950
I18,¼Ö´ú»¯,Jia Daihua,M,2000,2100,5.5,1,-120,750
I19,¼Ö·ó,Jia Fu,M,2000,2100,6,2,-200,850
I20,¼Ö¾´,Jia Jing,M,2000,2100,5.5,2,-240,850
I21,¼ÖÕä,Jia Zhen,M,2100,2200,5.5,3,-370,950
I22,¼ÖÈØÄ¸,Jia Rong's mother,F,2100,2200,5.5,3,-400,950
I23,ÓÈÊÏ,You Shi,F,2100,2200,5.5,3,-340,950
I24,¼ÖÏ§´º,Jia Xichun,F,2100,2200,6,3,-280,950
I25,¼ÖÈØ,Jia Rong,M,2100,2200,5.5,4,-300,1050
I26,ÇØ¿ÉÇä,Qin Keqing,F,2100,2200,5.5,4,-270,1050
I27,Ê·ºò,,M,2100,2200,5.5,0,180,650
I28,Ê·ÏæÔÆ×æ¸¸,Shi Xiangyun's grandfather,M,2100,2200,5.5,1,180,750
I29,Ê·ÏæÔÆ¸¸Ä¸,Shi Xiangyun's parents,M,2100,2200,5.5,2,150,850
I30,Ê·¶¦,Shi Deng,M,2100,2200,5.5,2,180,850
I31,Ê·¾¸,Shi Jing,M,2100,2200,5.5,2,210,850
I32,Ê·ÏæÔÆ,Shi Xiangyun,F,2100,2200,6,3,120,950
I33,Íõ·òÈËÖ®¸¸,Wang Furen's father,M,2100,2200,5.5,1,240,750
I34,ÍõÎõ·ï¸¸Ä¸,Shi Xiangyun's parents,M,2100,2200,5.5,2,230,850
I35,Íõ×ÓÌÚ,Wang Ziteng,M,2100,2200,5.5,2,240,850
I36,Ñ¦ÒÌÂè,Xue Yima,F,2100,2200,6,2,270,850
I37,Íõ¶ş¾Ë,Wang Erjiu,M,2100,2200,5.5,3,200,950
I38,ÍõÈÊ,Wang ren,M,2100,2200,5.5,3,230,950
I39,Ñ¦ó´¸¸,Xue pan's father,M,2100,2200,5.5,2,330,850
I40,Ñ¦±¦ÇÙ¸¸Ä¸,Xue Baochai's parents,M,2100,2200,5.5,2,360,850
I41,Ñ¦ó´,Xue pan,M,2100,2200,5.5,3,250,950
I42,ÏÄ½ğ¹ğ,Xia Jingui,F,2100,2200,6,3,280,950
I43,ÏãÁâ,Xiang Ling,F,2100,2200,5.5,3,310,950
I44,±¦ó¸,Bao Chan,F,2100,2200,5.5,3,340,950
I45,Ñ¦±¦îÎ,Xue Baochai,F,2100,2200,5.5,3,370,950
I46,Ñ¦òò,Xue Ke,M,2100,2200,6,3,400,950
I47,ĞÏá¶ÑÌ,Xing Xiuyan,F,2100,2200,5.5,3,430,950
I48,Ñ¦±¦ÇÙ,Xue Baoqin,F,2100,2200,5.5,3,460,950
